Name,Wiki_Name,community
OGURA Junji,Junji Ogura,6
OMAGBEMI Florence,Florence Omagbemi,6
OMARI Constant,Constant Omari,1
ORAZOV Derya,Derya Orazov,1
OSORIO Victor,Victor Osorio,1
OSUNA Romer,Romer Osuna,1
OUEGNIN Roger,Roger Ouegnin,6
PALACIO Jorge Ivan,Jorge Palacio Carlos Ivan,6
PALAVICINI Carlos,Palavicini,1
PASTORINI Daniel,Dan Pastorini,9
PATEL Imtiaz,Imtiaz Patel,9
PATEL Praful,Praful Patel,6
PATEL Rajesh,Rajesh Patel,6
PATEL Suketu,Suketu Patel,6
PELE,Pelé,5
PELTA Miroslav,Pelta,3
PENA GUTIERREZ Edgar,Gutierrez Pena Florentino Edgar,3
PEREZ Florentino,Perez,5
PETERSON Lars,Lars Peterson,5
PHAFANE Salemane,Salemane Phafane,0
PHILIPP Paul,Paul Philipp,0
PIAT Philippe,Philippe Piat,5
PINNICK Amaju,Amaju Pinnick,0
PINTO Marcelo,Marcelo Pinto,0
PLATINI Michel,Michel Platini,5
POHLAK Aivar,Aivar Pohlak,5
PROTASOV Alexander,Alexander Protasov,1
PUENTEVELLA Monico,Monico Puentevella,3
QUADERER Hugo,Hugo Quaderer,3
QUINTANA Javier,Javier Quintana,3
RAM Samuel,Samuel Ram,3
REID Horace,Horace Reid,3
REILLY Jack,Jack Reilly,3
REVILLA Fernando,Fernando Revilla,9
REYES Jose,Jose Reyes,9
RILEY Mike,Mike Riley,4
RODRIGUEZ Alejandro,Alejandro Rodriguez,4
RODRIGUEZ Jaime,Jaime Rodriguez,5
ROJAS Juan,Juan Rojas,5
ROKK Lazarus,Lazarus Rokk,6
ROMO Jorge,Jorge Romo,4
ROTHENBERG Alan,Alan Rothenberg,4
RUIZ Oscar,Oscar Ruiz,4
RUMMENIGGE Karl-Heinz,Karl-Heinz Rummenigge,4
SABIR David,Sabir,5
SALIM Tourqui,Tourqui Salim,1
SALMON Pare,Pare Salmon,9
SANDROCK Helmut,Helmut Sandrock,9
SANGARE Sita,Sita Sangare,3
SARHAN Toufik,Toufik Sarhan,0
SARRIS Georgios,Georgios Sarris,0
SASAKI Norio,Norio Sasaki,5
SAVICEVIC Dejan,Dejan Savicevic,5
SBARDELLA Marina,Marina Sbardella,5
SCALA Domenico,Domenico Scala,6
SCHELLING Hans,Hans Schelling,7
SCHWAB Brendan,Brendan Schwab,9
SCUDAMORE Richard,Richard Scudamore,9
SEALEY Anton,Anton Sealey,8
SEBEGO Tebogo,Tebogo Sebego,3
SEKAJUGO James,James Sekajugo,4
SENE Badara,Badara Sene,4
SENGHOR Augustin,Augustin Senghor,4
SETRIGHT Jo,Jo Setright,2
SEXWALE Tokyo,Tokyo Sexwale,2
SHALABI-MOLANO Susan,Susan Shalabi-Molano,8
SHAMS ELDIN Magdi,Eldin Shams Jim Magdi,4
SHAW Jim,Shaw,4
SIDAT Fezal,Fezal Sidat,3
SIEBER Walter,Walter Sieber,3
SIEM Kjetil,Kjetil Siem,1
SIMMONS Kelly,Kelly Simmons,8
SINGH Gurcharan,Gurcharan Singh,8
SINGH Yogeshwar,Yogeshwar Raj Singh,1
SIRELKHATIM Mutasim Gafaar,Mutasim Sirelkhatim Oliver Gafaar,5
SMITH Oliver,Smith,5
SNOUSSI Maher,Maher Snoussi,1
SOBHA Mohamad Ally Samir,Mohamad Sabu,3
SOLOMONA Laupama,Laupama Solomona,3
SOROKIN Alexey,Alexey Sorokin,8
STEFANOVIC Dejan,Dejan Stefanovic,9
SUKER Davor,Davor Suker,9
SULLIVAN Alan,Alan Sullivan,6
SULSER Claudio,Claudio Sulser,2
SULTANOV Semetei,Semetei Sultanov,2
SUN Wen,Wen Sun,1
SUNDHAGE Pia,Pia Sundhage,5
SUNIA Fiti,Fofō Iosefa Fiti Sunia,2
SURKIS Grygoriy,Hryhoriy Surkis,2
TASHIMA Kohzo,Kohzo Tashima,5
TAVECCHIO Carlo,Carlo Tavecchio,6
THIRIEZ Frederic,Frederic Thiriez,9
THOMPSON Geoff,Geoff Thompson,9
THOMSEN Claus,Claus Thomsen,9
THORSTEINSSON Geir,Geir Thorsteinsson,0
TILMO Juneidi,Juneidi Tilmo,0
TIM KEE Raymond,Kee Tim Rafael Raymond,7
TINOCO Rafael,Tinoco,7
TORRES Robert,Robert Torres,7
TRAN Quoc Tuan,Quoc Tran,7
TRENTALANGE Alfredo,Alfredo Trentalange,4
TSICHLAS Anastasia,Anastasia Tsichlas,4
ULLRICH Heike,Heike Ullrich,1
USMANOV Mirabror,Mirabror Usmanov,6
Vacant 1,1 Vacant,6
Vacant 2,2 Vacant,1
Vacant 3,3 Vacant,1
Vacant 4,4 Vacant,5
Vacant 5,5 Vacant,6
Vacant 6,6 Vacant,6
VAN DER SAR Edwin,Edwin Van Der Sar,9
VAN GAALEN Johan,Gaalen Van Praag Johan,9
VAN PRAAG Michael,Van Seggelen Michael,9
VAN SEGGELEN Theo,Van Cristian Theo,9
VARELA Cristian,Varela,9
VERGARA Hector,Hector Vergara,4
VICENTE Ruperto,Ruperto Vicente,4
VILLAR LLONA Angel Maria,Ángel María Villar,4
WABERI Souleiman Hassan,Souleiman Waberi,4
WANG Becky,Wang,3
WEAH George,George Weah,8
WEIGL Guenter,Guenter Weigl,3
WHITE Philip,Philip White,3
WHITMORE Theodore,Theodore Whitmore,3
WILKINSON Rhian,Rhian Wilkinson,5
WILLIAMSON Stephen,Stephen Williamson,5
WINDTNER Leo,Leo Windtner,5
WONUHALI Linda,Linda Wonuhali,8
WOODSON Rochell,Rochell Woodson,8
YAHYA Ahmed,Ahmed Yahya,8
ZAMBRANO Jose,Josmar Zambrano,5
ZAW Zaw,Zaw Zaw,3
ZERGUINI Yacine,Yacine Zerguini,3
ZHANG Jian,Zhang_Jian_(football),1
